TestPlan information Reading from logfile: TEST_PLAN V1_3,Cmd,Status,CMD_TIME (second),Used time (second),Hot time (second),Temperature (°C),Hot times
"iBoot Version: iBoot-7459.100.363.101.2
Rtos Version: PeRtosFactoryTests_H13G-1.0.20
Rbm Version: SiValFactoryTests_H13G-100040"
671,sc run 34 5 -coredown 0x60,Rtos,5.028161,5.144,,,
672,sc run 38 5 -coredown 0x60,Rtos,2.025443,2.142,,,
673,sc run 41 5 -coredown 0x60,Rtos,5.036063,5.146,,,
674,sc run 400 5 -coredown 0x60,Rtos,5.031973,5.143,,,
675,sc run 402 5 -coredown 0x60,Rtos,5.04043,5.161,,,
676,pmgr mode 0xc502256,Rtos,8.1e-05,0.032,,,
677,sc run 34 5,Rtos,5.031627,5.128,,,
678,sc run 38 5,Rtos,2.019202,2.142,,,
679,sc run 41 5,Rtos,5.059482,5.176,,,
680,sc run 400 5,Rtos,5.024162,5.143,,,
681,sc run 402 5,Rtos,5.084587,5.207,,,
682,sc run 409 5 -coredown 0x70,Rtos,5.109331,5.222,,,
683,sc run 409 5 -coredown 0xE0,Rtos,5.123756,5.239,,,
684,sc run 409 5 -coredown 0xB0,Rtos,5.048661,5.161,,,
685,sc run 409 5 -coredown 0xD0,Rtos,5.074461,5.193,,,
686,pmgr mode 0xb502256,Rtos,0.000101,0.031,,,
687,sc run 34 5,Rtos,5.037594,5.145,,,
688,sc run 38 5,Rtos,2.025261,2.142,,,
689,sc run 41 5,Rtos,5.044272,5.159,,,
690,sc run 400 5,Rtos,5.024406,5.145,,,
691,sc run 402 5,Rtos,5.104205,5.222,,,
692,sc run 39 5 -coredown 0x10,Rtos,5.055759,5.175,,,
693,sc run 39 5 -coredown 0x20,Rtos,5.063115,5.177,,,
694,sc run 39 5 -coredown 0x40,Rtos,5.076394,5.193,,,
695,sc run 39 5 -coredown 0x80,Rtos,5.061339,5.178,,,
696,pmgr mode 0xa502256,Rtos,0.0001,0.031,,,
697,sc run 34 5,Rtos,5.032184,5.129,,,
698,sc run 38 5,Rtos,2.025847,2.158,,,
699,sc run 39 5,Rtos,5.061112,5.177,,,
700,sc run 41 5,Rtos,5.047428,5.157,,,
701,sc run 400 5,Rtos,5.031061,5.144,,,
702,sc run 402 5,Rtos,5.078217,5.19,,,
